,wombus_id,birth_continent,gender,age,college_degree,problem_solving_skill,technology_skill,english_skill,most_recent_income,total_jobs,shirt_color_preference,customer_exp_preference,work_env_preference,personal_growth_preference,honest_communication_preference,community_service_preference,remote_work_preference,industry_preference,score
0,1105,North America,Female,44.0,0.0,8.400397075,23.34827061,9.105426448,77367.0,5.0,Purple,Strongly Disagree,Strongly Agree,Agree,Neutral,Strongly Agree,Hybrid,Higher Education,51.2288097439255
1,1106,North America,Female,52.0,1.0,7.787927159,24.79982541,9.09571266,78979.0,4.0,Blue,Neutral,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Hybrid,Finance,52.105834211197504
2,1107,North America,Male,32.0,0.0,23.00573899,25.48492698,8.967304833,38932.0,Unsure,Blue,Strongly Disagree,Disagree,Agree,Agree,Neutral,On-Site,Finance,45.6039933040175
3,1108,Africa,Male,49.0,0.0,15.56586595,26.03470274,5.914386994,58511.0,Unsure,Purple,Disagree,Strongly Agree,Agree,Neutral,Strongly Agree,Hybrid,Tech,48.834004676179994
4,1109,North America,Male,47.0,0.0,12.7843661,30.61928328,8.751296012,65831.0,Unsure,Purple,Strongly Disagree,Disagree,Neutral,Strongly Agree,Strongly Agree,On-Site,Renewable Energy,49.944384759315994
5,1110,North America,Male,41.0,Unsure,23.58508552,27.17905976,9.04211075,37408.0,3.0,Purple,Strongly Disagree,Disagree,Agree,Neutral,Strongly Agree,Hybrid,Finance,46.216661653771
6,1111,Africa,Female,54.0,0.0,14.47848974,27.20571805,4.806768172,61372.0,4.0,Purple,Disagree,Disagree,Agree,Disagree,Strongly Agree,Hybrid,Higher Education,49.387411369573
7,1112,North America,Male,54.0,1.0,17.66461025,23.03948846,6.377979857,52988.0,5.0,Purple,Strongly Agree,Disagree,Disagree,Neutral,Strongly Agree,Hybrid,Higher Education,48.7868043813515
8,1113,Asia,Male,40.0,0.0,14.51715814,24.27783331,8.142138163,53792.0,Unsure,Purple,Agree,Disagree,Agree,Neutral,Strongly Agree,Hybrid,Tech,48.7958709146205
9,1114,North America,Male,57.0,0.0,16.82255508,29.27679847,8.124911132,61080.5,3.0,Purple,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Hybrid,Higher Education,49.516574504545
10,1115,North America,Female,44.0,0.0,10.40299269,26.45908168,8.086716154,72097.0,4.0,Blue,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,On-Site,Finance,50.363119577804
11,1116,Asia,Female,52.0,0.0,19.08569867,28.60790649,5.213967203,49248.0,3.0,Blue,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Remote,Tech,47.8433409018535
12,1117,Asia,Male,35.0,1.0,11.93370702,24.60372903,5.893328495,68069.0,Unsure,Purple,Strongly Disagree,Disagree,Neutral,Strongly Agree,Strongly Agree,Hybrid,Renewable Energy,48.7118103549905
13,1118,North America,Female,35.0,0.0,16.1049772,26.03470274,9.299056394,61080.5,Unsure,Blue,Strongly Disagree,Agree,Disagree,Neutral,Strongly Agree,Hybrid,Finance,48.040007921154995
14,1119,Asia,Female,59.0,Unsure,15.83960103,26.28544632,5.964916638,57791.0,4.0,Purple,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Hybrid,Finance,49.65453885552401
15,1120,North America,Male,53.0,0.0,15.64279293,16.48122799,8.142138163,58308.0,6.0,Purple,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Hybrid,Higher Education,49.7760162973535
16,1121,North America,Female,41.0,0.0,10.81682913,29.96742828,8.285216522,71008.0,3.0,Purple,Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Hybrid,Tech,49.933482930236
17,1122,North America,Female,37.0,0.0,14.68646003,28.32157578,7.870972801,60825.0,4.0,Blue,Unsure,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,On-Site,Finance,48.34293707016949
18,1123,Africa,Male,47.0,1.0,15.01662722,25.74735004,6.284590012,59956.0,Unsure,Blue,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Hybrid,Finance,48.897107528511995
19,1124,Africa,Male,44.0,0.0,21.54572134,22.81105225,6.833563823,42774.0,4.0,Purple,Neutral,Disagree,Agree,Strongly Agree,Agree,On-Site,Finance,46.7867561225045
20,1125,North America,Female,44.0,1.0,10.98128562,26.04266649,5.724452903,70576.0,Unsure,Purple,Disagree,Neutral,Disagree,Neutral,Strongly Agree,Hybrid,Renewable Energy,49.7535973607285
21,1126,Asia,Female,32.0,1.0,24.56806868,29.61428071,6.236458086,34821.0,Unsure,Blue,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Hybrid,Renewable Energy,44.533662196490006
22,1127,Asia,Female,27.0,0.0,22.26043245,27.01931993,8.142138163,40894.0,4.0,Purple,Strongly Agree,Neutral,Strongly Agree,Neutral,Agree,Hybrid,Tech,45.198001754867505
23,1128,North America,Male,43.0,0.0,10.03546968,29.62154628,9.038703192,73065.0,Unsure,Purple,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,On-Site,Renewable Energy,50.500377917416
